[2018-03-08 18:57:26:558][main] INFO  c.c.s.i.ImageMigratorApplication - Starting ImageMigratorApplication on SKP1002639NM003.local with PID 31785 (/Users/a1002639/IdeaProjects/image_migrator/out/production/classes started by a1002639 in /Users/a1002639/IdeaProjects/image_migrator)
[2018-03-08 18:57:26:560][main] DEBUG c.c.s.i.ImageMigratorApplication - Running with Spring Boot v1.5.10.RELEASE, Spring v4.3.14.RELEASE
[2018-03-08 18:57:26:561][main] INFO  c.c.s.i.ImageMigratorApplication - The following profiles are active: local-all-test
[2018-03-08 18:57:27:1262][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** Start!!!
[2018-03-08 18:57:27:1263][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.1.1. Plan files generating [PdPrdDescPlanGenerator] [begin]
[2018-03-08 18:57:27:1669][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.1.2. Plan files generating [PdPrdDescPlanGenerator] [done]
[2018-03-08 18:57:27:1669][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.2.1. Plan files generating [PdOptValuePlanGenerator] [begin]
[2018-03-08 18:57:28:2026][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.2.2. Plan files generating [PdOptValuePlanGenerator] [done]
[2018-03-08 18:57:28:2027][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.3.1. Plan files generating [PdOptDtlImagePlanGenerator] [begin]
[2018-03-08 18:57:28:2353][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.3.2. Plan files generating [PdOptDtlImagePlanGenerator] [done]
[2018-03-08 18:57:28:2353][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.1.1. Images downloading [PdPrdDescImgDownLoader] [begin]
[2018-03-08 18:57:46:20930][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.1.2. Images downloading [PdPrdDescImgDownLoader] [done]
[2018-03-08 18:57:46:20931][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.2.1. Images downloading [PdOptValueImgDownLoader] [begin]
[2018-03-08 18:57:46:20932][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.2.2. Images downloading [PdOptValueImgDownLoader] [done]
[2018-03-08 18:57:46:20932][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.3.1. Images downloading [PdOptDtlImageImgDownLoader] [begin]
[2018-03-08 18:57:47:20960][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.3.2. Images downloading [PdOptDtlImageImgDownLoader] [done]
[2018-03-08 18:57:47:20960][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.1.1. URL data is being migrated [PdPrdDescURLDataMigrator] [begin]
[2018-03-08 18:57:47:20961][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.1.2. URL data is being migrated [PdPrdDescURLDataMigrator] [done]
[2018-03-08 18:57:47:20961][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.2.1. URL data is being migrated [PdOptValueURLDataMigrator] [begin]
[2018-03-08 18:57:47:20961][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.2.2. URL data is being migrated [PdOptValueURLDataMigrator] [done]
[2018-03-08 18:57:47:20961][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.3.1. URL data is being migrated [PdOptDtlImageURLDataMigrator] [begin]
