[2018-03-08 19:04:24:596][main] INFO  c.c.s.i.ImageMigratorApplication - Starting ImageMigratorApplication on SKP1002639NM003.local with PID 32148 (/Users/a1002639/IdeaProjects/image_migrator/out/production/classes started by a1002639 in /Users/a1002639/IdeaProjects/image_migrator)
[2018-03-08 19:04:24:599][main] DEBUG c.c.s.i.ImageMigratorApplication - Running with Spring Boot v1.5.10.RELEASE, Spring v4.3.14.RELEASE
[2018-03-08 19:04:24:599][main] INFO  c.c.s.i.ImageMigratorApplication - The following profiles are active: local-all-test
[2018-03-08 19:04:25:1304][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** Start!!!
[2018-03-08 19:04:25:1305][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.1.1. Plan files generating [PdPrdDescPlanGenerator] [begin]
[2018-03-08 19:08:04:220682][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.1.2. Plan files generating [PdPrdDescPlanGenerator] [done]
[2018-03-08 19:08:15:231051][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.2.1. Plan files generating [PdOptValuePlanGenerator] [begin]
[2018-03-08 19:08:34:250199][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.2.2. Plan files generating [PdOptValuePlanGenerator] [done]
[2018-03-08 19:08:44:260905][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.3.1. Plan files generating [PdOptDtlImagePlanGenerator] [begin]
[2018-03-08 19:08:46:262803][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.3.2. Plan files generating [PdOptDtlImagePlanGenerator] [done]
[2018-03-08 19:08:53:269562][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.1.1. Images downloading [PdPrdDescImgDownLoader] [begin]
[2018-03-08 19:09:52:328453][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.1.2. Images downloading [PdPrdDescImgDownLoader] [done]
[2018-03-08 19:09:52:328454][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.2.1. Images downloading [PdOptValueImgDownLoader] [begin]
[2018-03-08 19:10:33:369314][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.2.2. Images downloading [PdOptValueImgDownLoader] [done]
[2018-03-08 19:10:33:369314][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.3.1. Images downloading [PdOptDtlImageImgDownLoader] [begin]
[2018-03-08 19:10:33:369335][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.3.2. Images downloading [PdOptDtlImageImgDownLoader] [done]
[2018-03-08 19:10:33:369336][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.1.1. URL data is being migrated [PdPrdDescURLDataMigrator] [begin]
